Country,Coral reef area under improved management (F1) - Secured,Coral reef area under improved management (F1) - Target,Reporting dates (F1) - Secured,Reporting dates (F1) - Target,Titles (F1) - Secured,Titles (F1) - Target,Protected area with sustainable financing support (F2.1 + F2.2) - Secured,Protected area with sustainable financing support (F2.1 + F2.2) - Target,Reporting dates (F2) - Secured,Reporting dates (F2) - Target,Titles (F2) - Secured,Titles (F2) - Target,# directly supported reef-positive jobs (F6.1),Reporting dates (F6.1),Titles (F6.1),# community members with increased resilience (F7.2),Reporting dates (F7.2),Titles (F7.2)
Colombia,232300,232300,2024-12-31,2024-12-31,Baseline,Phase 3 Target,0,243690,2024-12-31,2024-12-31,End-Year Report,Phase 3 Target,0,2024-12-31,End-Year Report,0,2024-12-31,End-Year Report
Egypt,400,400,2024-12-31,2024-12-31,Annual Report,Annual Report,280,280,2024-12-31,2024-12-31,Annual Report,Annual Report,6,2024-12-31,Annual Report,0,2024-12-31,Annual Report
Fiji,200,300000,2024-12-31,2026-03-31,End-Year Report,Target,17583.84,17583.84,2024-12-31,2026-03-31,End-Year Report,Target,3,2024-12-31,End-Year Report,20010,2024-12-31,End-Year Report
Indonesia,368649,368649,2025-03-25; 2024-12-31,2025-03-25; 2029-12-31,Annual Report 2025; End-Year Report,Target by 2030; Final Target,7463443,7463443,2025-03-25; 2024-12-31,2025-03-25; 2029-12-31,Annual Report 2025; End-Year Report,Target by 2030; Final Target,4,2025-03-25; 2024-12-31,Annual Report 2025; End-Year Report,4919,2025-03-25; 2024-12-31,Annual Report 2025; End-Year Report
Kenya & Tanzania,36700,39700,2024-12-31,2029-12-16; 2030-12-31,End-year; End-Year Report,Project End; Final Target,171817.99999999997,234717.99999999997,2024-12-31,2029-12-16; 2030-12-31,End-year; End-Year Report,Project End; Final Target,47,2024-12-31,End-year; End-Year Report,214893,2024-12-31,End-year; End-Year Report
Maldives,6037,6037,2024-12-31,2030-12-09,End of Year Report 2024,Final Target,0,3500,2024-12-31,2030-12-09,End of Year Report 2024,Final Target,0,2024-12-31,End of Year Report 2024,0,2024-12-31,End of Year Report 2024
Mesoamerican Reef Region,58115,69612,2024-12-31,2030-07-13,End year Report,Final Target,2144870,2144870,2024-12-31,2030-07-13,End year Report,Final Target,1224,2024-12-31,End year Report,3500000,2024-12-31,End year Report
Micronesia Region,583808,583808,2025-03-21,2030-12-31,Annual Report,Target by 2030,154433,350282,2025-03-21,2030-12-31,Annual Report,Target by 2030,0,2025-03-21,Annual Report,0,2025-03-21,Annual Report
Philippines,30400,80000,2024-12-31,2030-01-01,BA PHI End Year,End of Programme,670900,2899400,2024-12-31,2030-01-01,BA PHI End Year,End of Programme,56,2024-12-31,BA PHI End Year,416405,2024-12-31,BA PHI End Year
Seychelles,8.5,8.5,2025-02-21,2025-02-09,End of Year 2024,Phase 1 Target,0,0,2025-02-21,2025-02-09,End of Year 2024,Phase 1 Target,0,2025-02-21,End of Year 2024,0,2025-02-21,End of Year 2024
Sri Lanka,6233,6543.000000000001,2025-03-12,2030-12-31,SLCRI Project 2024 Annual,SLCRI Project End,32004.000000000004,43430,2025-03-12,2030-12-31,SLCRI Project 2024 Annual,SLCRI Project End,0,2025-03-12,SLCRI Project 2024 Annual,0,2025-03-12,SLCRI Project 2024 Annual
The Bahamas,1807,1807,2025-03-14,2025-03-14,BahamaReefs Target Metrics,BahamaReefs Target Metrics,0,0,2025-03-14,2025-03-14,BahamaReefs Target Metrics,BahamaReefs Target Metrics,200,2025-03-14,BahamaReefs Target Metrics,0,2025-03-14,BahamaReefs Target Metrics
Global,1324657.5,1688864.5,2024-12-31; 2025-03-14; 2025-03-25; 2025-03-21; 2025-02-21; 2025-03-12,2030-01-01; 2029-12-16; 2024-12-31; 2026-03-31; 2025-03-14; 2025-03-25; 2030-07-13; 2030-12-09; 2030-12-31; 2025-02-09; 2029-12-31,BA PHI End Year; End-year; Baseline; End-Year Report; Annual Report; BahamaReefs Target Metrics; Annual Report 2025; End year Report; End of Year Report 2024; End of Year 2024; SLCRI Project 2024 Annual,End of Programme; Project End; Phase 3 Target; Target; Annual Report; BahamaReefs Target Metrics; Target by 2030; Final Target; Phase 1 Target; SLCRI Project End,10655331.84,13401196.84,2024-12-31; 2025-03-14; 2025-03-25; 2025-03-21; 2025-02-21; 2025-03-12,2030-01-01; 2029-12-16; 2024-12-31; 2026-03-31; 2025-03-14; 2025-03-25; 2030-07-13; 2030-12-09; 2030-12-31; 2025-02-09; 2029-12-31,BA PHI End Year; End-year; End-Year Report; Annual Report; BahamaReefs Target Metrics; Annual Report 2025; End year Report; End of Year Report 2024; End of Year 2024; SLCRI Project 2024 Annual,End of Programme; Project End; Phase 3 Target; Target; Annual Report; BahamaReefs Target Metrics; Target by 2030; Final Target; Phase 1 Target; SLCRI Project End,1540,2024-12-31; 2025-03-14; 2025-03-25; 2025-03-21; 2025-02-21; 2025-03-12,BA PHI End Year; End-year; End-Year Report; Annual Report; BahamaReefs Target Metrics; Annual Report 2025; End year Report; End of Year Report 2024; End of Year 2024; SLCRI Project 2024 Annual,4156227,2024-12-31; 2025-03-14; 2025-03-25; 2025-03-21; 2025-02-21; 2025-03-12,BA PHI End Year; End-year; End-Year Report; Annual Report; BahamaReefs Target Metrics; Annual Report 2025; End year Report; End of Year Report 2024; End of Year 2024; SLCRI Project 2024 Annual
