Country,NumReefPosSolutions,Financial Mechanisms - Insurance Mechanisms,Financial Mechanisms - Other,Financial Mechanisms - MPA User Fee,Sustainable Coastal Development - Ecotourism,Sustainable Ocean Production - Aquaculture,Circular Economy and Pollution Management - Waste Management,Financial Mechanisms - Blue Carbon Credits,Sustainable Coastal Development - Coastal Infrastructure,Sustainable Coastal Development - Other,Sustainable Ocean Production - Fisheries,Sustainable Ocean Production - Other,Sustainable Ocean Production - Sustainable Small-Scale Fisheries,Circular Economy and Pollution Management - Pollution Mitigation,Sustainable Coastal Development - Coral Restoration Revenue Models,Financial Mechanisms - Conservation Trust Fund,Investments_GFCR,Investments_Private,Investments_Philanthropy,Investments_Public,Investments_Total,TotalRevenue,Number of Gender Positive Investments
Colombia,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319500,0,0,319500,0,2
Egypt,4,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0
Indonesia,29,3.4482758620689653,3.4482758620689653,0,13.793103448275861,37.93103448275862,3.4482758620689653,3.4482758620689653,3.4482758620689653,17.24137931034483,3.4482758620689653,3.4482758620689653,6.896551724137931,0,0,0,850000,17400000,0,0,18250000,41732142.27,4
Kenya & Tanzania,15,0,13.333333333333334,0,40,26.666666666666668,0,6.666666666666667,0,0,0,0,6.666666666666667,6.666666666666667,0,0,801715,2100000,200000,0,3101715,90000,7
Mesoamerican Reef Region,35,0,2.857142857142857,0,17.142857142857142,8.571428571428571,20,0,5.714285714285714,5.714285714285714,5.714285714285714,28.57142857142857,0,0,8.571428571428571,0,100000,7015000,0,3800000,10915000,14548717,7
Micronesia Region,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1500000,0
Philippines,13,7.6923076923076925,0,0,38.46153846153847,38.46153846153847,0,7.6923076923076925,0,0,7.6923076923076925,0,0,0,0,0,1850000,300000,100000,0,2250000,33000,6
Sri Lanka,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
The Bahamas,3,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,0,33.33333333333333,33.33333333333333,0,0,0,0,0,340850.62,0
Global,104,2.941176470588235,5.88235294117647,0.9803921568627451,21.568627450980394,22.54901960784314,8.823529411764707,2.941176470588235,2.941176470588235,6.862745098039216,3.9215686274509802,10.784313725490197,2.941176470588235,0.9803921568627451,4.901960784313726,1.9607843137254901,3601715,27134500,300000,3800000,34836215,58245059.89,26
